PassengerId,Survived,Pclass,Sex_Encoded,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S,Age_Z,Fare_Z,SibSp_Z,Parch_Z
1,0,3,1,22.0,1.0,0,7.25,0,1,-0.5831045826910642,-0.8200918503613662,0.8097652358856646,
2,1,1,0,38.0,1.0,0,65.6344,0,0,0.7422683335786762,2.03048281603878,0.8097652358856646,
3,1,3,0,26.0,0.0,0,7.925,0,1,-0.2517613536236291,-0.7871354801696694,-0.6021737566273045,
4,1,1,0,35.0,1.0,0,53.1,0,1,0.49376091177809983,1.4185001100672192,0.8097652358856646,
5,0,3,1,35.0,0.0,0,8.05,0,1,0.49376091177809983,-0.7810324486526885,-0.6021737566273045,
6,0,3,1,28.0,0.0,0,8.4583,1,0,-0.08608973908991159,-0.7610975065056222,-0.6021737566273045,
7,0,1,1,54.0,0.0,0,51.8625,0,1,2.0676412498484167,1.3580800980491081,-0.6021737566273045,
8,0,3,1,2.5,2.5,0,21.075,0,1,-2.1984028243948104,-0.14509656458328138,2.927673724655119,
9,1,3,0,27.0,0.0,0,11.1333,0,1,-0.16892554635677037,-0.6304926320422315,-0.6021737566273045,
10,1,2,0,14.0,1.0,0,30.0708,0,0,-1.2457910408259345,0.2941166427803711,0.8097652358856646,
11,1,3,0,4.0,1.0,0,16.7,0,1,-2.074149113494522,-0.358702667677612,0.8097652358856646,
12,1,1,0,54.5,0.0,0,26.55,0,1,2.109059153481846,0.12221621586048105,-0.6021737566273045,
13,0,3,1,20.0,0.0,0,8.05,0,1,-0.7487761972247818,-0.7810324486526885,-0.6021737566273045,
14,0,3,1,39.0,1.0,0,31.275,0,1,0.825104140845535,0.35291080720235807,0.8097652358856646,
15,0,3,0,14.0,0.0,0,7.8542,0,1,-1.2457910408259345,-0.7905922372208875,-0.6021737566273045,
16,1,2,0,54.5,0.0,0,16.0,0,1,2.109059153481846,-0.3928796441727049,-0.6021737566273045,
17,0,3,1,2.5,2.5,0,29.125,1,0,-2.1984028243948104,0.24793866511028706,2.927673724655119,
18,1,2,1,28.0,0.0,0,13.0,0,1,-0.08608973908991159,-0.5393524005802459,-0.6021737566273045,
19,0,3,0,31.0,1.0,0,18.0,0,1,0.16241768271066476,-0.2952311399010109,0.8097652358856646,
20,1,3,0,28.0,0.0,0,7.225,0,0,-0.08608973908991159,-0.8213124566647625,-0.6021737566273045,
21,0,2,1,35.0,0.0,0,26.0,0,1,0.49376091177809983,0.09536287718576517,-0.6021737566273045,
22,1,2,1,34.0,0.0,0,13.0,0,1,0.4109251045112411,-0.5393524005802459,-0.6021737566273045,
23,1,3,0,15.0,0.0,0,8.0292,1,0,-1.1629552335590756,-0.7820479930971143,-0.6021737566273045,
24,1,1,1,28.0,0.0,0,35.5,0,1,-0.08608973908991159,0.5591932724763117,-0.6021737566273045,
25,0,3,0,8.0,2.5,0,21.075,0,1,-1.742805884427087,-0.14509656458328138,2.927673724655119,
26,1,3,0,38.0,1.0,0,31.3875,0,1,0.7422683335786762,0.3584035355676409,0.8097652358856646,
27,0,3,1,28.0,0.0,0,7.225,0,0,-0.08608973908991159,-0.8213124566647625,-0.6021737566273045,
28,0,1,1,19.0,2.5,0,65.6344,0,1,-0.8316120044916406,2.03048281603878,2.927673724655119,
29,1,3,0,28.0,0.0,0,7.8792,1,0,-0.08608973908991159,-0.7893716309174912,-0.6021737566273045,
30,0,3,1,28.0,0.0,0,7.8958,0,1,-0.08608973908991159,-0.7885611483320362,-0.6021737566273045,
31,0,1,1,40.0,0.0,0,27.7208,0,0,0.9079399481123938,0.17937965026113073,-0.6021737566273045,
32,1,1,0,28.0,1.0,0,65.6344,0,0,-0.08608973908991159,2.03048281603878,0.8097652358856646,
33,1,3,0,28.0,0.0,0,7.75,1,0,-0.08608973908991159,-0.7956797242934427,-0.6021737566273045,
34,0,2,1,54.5,0.0,0,10.5,0,1,2.109059153481846,-0.6614130309198635,-0.6021737566273045,
35,0,1,1,28.0,1.0,0,65.6344,0,0,-0.08608973908991159,2.03048281603878,0.8097652358856646,
36,0,1,1,42.0,1.0,0,52.0,0,1,1.0736115626461114,1.3647934327177873,0.8097652358856646,
37,1,3,1,28.0,0.0,0,7.2292,0,0,-0.08608973908991159,-0.8211073948057919,-0.6021737566273045,
38,0,3,1,21.0,0.0,0,8.05,0,1,-0.665940389957923,-0.7810324486526885,-0.6021737566273045,
39,0,3,0,18.0,2.0,0,18.0,0,1,-0.9144478117584993,-0.2952311399010109,2.2217042283986337,
40,1,3,0,14.0,1.0,0,11.2417,0,0,-1.2457910408259345,-0.6252000831107057,0.8097652358856646,
41,0,3,0,40.0,1.0,0,9.475,0,1,0.9079399481123938,-0.7114578893591066,0.8097652358856646,
42,0,2,0,27.0,1.0,0,21.0,0,1,-0.16892554635677037,-0.14875838349346987,0.8097652358856646,
43,0,3,1,28.0,0.0,0,7.8958,0,0,-0.08608973908991159,-0.7885611483320362,-0.6021737566273045,
44,1,2,0,3.0,1.0,0,41.5792,0,0,-2.156984920761381,0.8560056660605528,0.8097652358856646,
45,1,3,0,19.0,0.0,0,7.8792,1,0,-0.8316120044916406,-0.7893716309174912,-0.6021737566273045,
46,0,3,1,28.0,0.0,0,8.05,0,1,-0.08608973908991159,-0.7810324486526885,-0.6021737566273045,
47,0,3,1,28.0,1.0,0,15.5,1,0,-0.08608973908991159,-0.4172917702406284,0.8097652358856646,
48,1,3,0,28.0,0.0,0,7.75,1,0,-0.08608973908991159,-0.7956797242934427,-0.6021737566273045,
49,0,3,1,28.0,2.0,0,21.6792,0,0,-0.08608973908991159,-0.1155969514428025,2.2217042283986337,
50,0,3,0,18.0,1.0,0,17.8,0,1,-0.9144478117584993,-0.30499599032818026,0.8097652358856646,
51,0,3,1,7.0,2.5,0,39.6875,0,1,-1.825641691693946,0.7636448282951711,2.927673724655119,
52,0,3,1,21.0,0.0,0,7.8,0,1,-0.665940389957923,-0.7932385116866503,-0.6021737566273045,
53,1,1,0,49.0,1.0,0,65.6344,0,0,1.6534622135141228,2.03048281603878,0.8097652358856646,
54,1,2,0,29.0,1.0,0,26.0,0,1,-0.0032539318230528085,0.09536287718576517,0.8097652358856646,
55,0,1,1,54.5,0.0,0,61.9792,0,0,2.109059153481846,1.8520204096318316,-0.6021737566273045,
56,1,1,1,28.0,0.0,0,35.5,0,1,-0.08608973908991159,0.5591932724763117,-0.6021737566273045,
